State,Year,Month,Average Rainfall,Total Rainfall
Johor,2014,January,5.49,170.24
Johor,2014,February,8.78,245.81
Johor,2014,March,4.47,138.66
Johor,2014,April,6.45,193.37
Johor,2014,May,5.95,184.55
Johor,2014,June,3.99,119.83
Johor,2014,July,5.97,185.04
Johor,2014,August,3.49,108.34
Johor,2014,September,4.4,131.93
Johor,2014,October,5.53,171.45
Johor,2014,November,7,209.92
Johor,2014,December,8.02,248.59
Johor,2015,January,6.41,198.8
Johor,2015,February,1.52,42.55
Johor,2015,March,8.34,258.53
Johor,2015,April,5.33,160
Johor,2015,May,3.35,103.91
Johor,2015,June,2.79,83.63
Johor,2015,July,3.31,102.55
Johor,2015,August,4.69,145.3
Johor,2015,September,7.99,239.69
Johor,2015,October,8.19,253.96
Johor,2015,November,12.91,387.34
Johor,2015,December,4.63,143.49
Johor,2016,January,9.51,294.76
Johor,2016,February,5.02,145.65
Johor,2016,March,5.05,156.51
Johor,2016,April,4.98,149.46
Johor,2016,May,3.91,121.08
Johor,2016,June,3.02,90.71
Johor,2016,July,7.59,235.17
Johor,2016,August,5.33,165.19
Johor,2016,September,11.56,346.91
Johor,2016,October,7.12,220.64
Johor,2016,November,7.78,233.41
Johor,2016,December,13.99,433.71
Johor,2017,January,3.13,97.13
Johor,2017,February,3.19,89.4
Johor,2017,March,7.71,238.96
Johor,2017,April,7.13,213.79
Johor,2017,May,7.15,221.52
Johor,2017,June,3.61,108.18
Johor,2017,July,3.59,111.38
Johor,2017,August,4.61,142.8
Johor,2017,September,4,120.02
Johor,2017,October,4.83,149.65
Johor,2017,November,7.81,234.27
Johor,2017,December,7.12,220.74
Johor,2018,January,4.73,146.66
Johor,2018,February,4.9,137.18
Johor,2018,March,2.29,71.07
Johor,2018,April,5.25,157.43
Johor,2018,May,4.57,141.68
Johor,2018,June,3.03,91.02
Johor,2018,July,4.88,151.19
Johor,2018,August,7.76,240.6
Johor,2018,September,7.06,211.68
Johor,2018,October,4.69,145.25
Johor,2018,November,4.28,128.49
Johor,2018,December,13.27,411.29
Johor,2019,January,7.65,237.21
Johor,2019,February,1.57,43.9
Johor,2019,March,2.65,82.13
Johor,2019,April,7.46,223.84
Johor,2019,May,3.34,103.58
Johor,2019,June,3.72,111.47
Johor,2019,July,3.64,112.76
Johor,2019,August,3.49,108.11
Johor,2019,September,5.32,159.46
Johor,2019,October,7.01,217.29
Johor,2019,November,6.6,197.87
Johor,2019,December,10.49,325.05
Johor,2020,January,8.15,252.67
Johor,2020,February,4.33,125.71
Johor,2020,March,6.04,187.16
Johor,2020,April,5.39,161.82
